	brand	model	spec	year	dB_at_idle	dB_at_50kmh	dB_at_80kmh	dB_at_100kmh	dB_at_120kmh	dB_at_140kmh	model_id	model_id_cqa	model_make_id_cqa	model_name_cqa	model_trim_cqa	model_year_cqa	model_body_cqa	model_engine_position_cqa	model_engine_cc_cqa	model_engine_cyl_cqa	model_engine_type_cqa	model_engine_valves_per_cyl_cqa	model_engine_power_ps_cqa	model_engine_power_rpm_cqa	model_engine_torque_nm_cqa	model_engine_torque_rpm_cqa	model_engine_bore_mm_cqa	model_engine_stroke_mm_cqa	model_engine_compression_cqa	model_engine_fuel_cqa	model_top_speed_kph_cqa	model_0_to_100_kph_cqa	model_drive_cqa	model_transmission_type_cqa	model_seats_cqa	model_doors_cqa	model_weight_kg_cqa	model_length_mm_cqa	model_width_mm_cqa	model_height_mm_cqa	model_wheelbase_mm_cqa	model_lkm_hwy_cqa	model_lkm_mixed_cqa	model_lkm_city_cqa	model_fuel_cap_l_cqa	model_sold_in_us_cqa	model_co2_cqa	model_make_display_cqa	model_engine_l_cqa	model_engine_ci_cqa	model_engine_bore_in_cqa	model_engine_stroke_in_cqa	model_engine_valves_cqa	model_engine_power_hp_cqa	model_engine_power_kw_cqa	model_engine_torque_lbft_cqa	model_engine_torque_kgm_cqa	model_top_speed_mph_cqa	model_weight_lbs_cqa	model_length_in_cqa	model_width_in_cqa	model_height_in_cqa	model_wheelbase_in_cqa	model_mpg_hwy_cqa	model_mpg_city_cqa	model_mpg_mixed_cqa	model_fuel_cap_g_cqa	make_display_cqa	make_country_cqa	ExtColors_cqa	IntColors_cqa
0	Abarth	500	1.4 16v T-Jet	2008	 47.3 	 58.2 	 67.0 	 70.2 	 72.9 	 76.0 	nan																																																												
1	Abarth	595	Competizione	2017	 49.9 	 65.7 	 69.0 	 72.3 	 73.1 	 75.8 	nan																																																												
2	Acura	MDX	3.5 V6	2013	 41.7 	 51.7 	 57.9 	 61.2 	 64.0 	 66.8 	57614	57614	acura	MDX	AWD	2013	SUV	Front	3700	6	V	4	304	6300	366	4500	90.0	96.0	11.2	Gasoline			AWD	6-speed automatic	7	5	2069	4867	2238	1733	2750	8.7		12.3	79	1		Acura	3.7	226	3.54	3.78	24	300	224	270	37		4561	191.6	88.1	68.2	108.3	27	19		20.9	Acura	USA		
3	Acura	RDX	3.5 V6	2012	 43.0 	 54.4 	 61.5 	 65.5 	 67.7 	 69.9 	48595	48595	acura	RDX	SH-AWD	2012	SUV	Front	2300	4	in-line	4	243	6000	352	4500				Gasoline			AWD	5-speed shiftable automatic	5	5	1783	4636	1869	1654	2649	10.7		13.8	68	1		Acura	2.3	140			16	240	179	260	36		3931	182.5	73.6	65.1	104.3	22	17		18.0	Acura	USA		
4	Acura	RL	3.7 V6	2009	 43.6 	 55.5 	 63.0 	 66.9 	 70.2 	 73.5 	299	299	acura	RL	Sedan	2009	Sedan	Front	3664	6	V	4	304	6300	367	5000			11.0:1	Gasoline			4WD	Automatic	5	4		4980	1850	1460	2810	10.7	13.1	14.7	73	1		Acura	3.7	224			24	300	224	271	37			196.1	72.8	57.5	110.6	22	16	18.0	19.3	Acura	USA		
5	Acura	RLX	3.5 V6	2013	 39.5 	 49.7 	 56.0 	 59.3 	 62.4 	 65.6 	nan																																																												
6	Acura	RLX	3.5 V6	2016	 42.2 	 51.1 	 56.7 	 59.4 	 62.6 	 65.9 	67468	67468	Acura	RLX	Krell Audio Package 4dr Sedan (3.5L 6cyl 6A)	2016	Midsize Cars	Front	3500	6	V	4	310		272				11.5	Premium Unleaded (Required)			Front Wheel Driv	Automatic		4	3981					31.0	24.0	20.0	19	1		Acura	3.5	214			24	306	228	201	28		8777					8	12	10.0	5.0	Acura	USA		
7	Acura	TL	3.5 V6	2009	 40.2 	 54.5 	 63.3 	 68.6 	 70.1 	 71.7 	380	380	acura	TL		2009	Sedan	Front	3471	6	V	4	280	6200	254	5000			11.2:1	Gasoline			Front	Automatic	5	4		4970	1890	1460	2780	9.2	11.3	13.2	70	1		Acura	3.5	212			24	276	206	187	26			195.7	74.4	57.5	109.4	26	18	21.0	18.5	Acura	USA		
8	Acura	TL	3.7 V6	2010	 39.9 	 48.4 	 53.8 	 56.2 	 60.2 	 64.2 	44336	44336	acura	TL	SH-AWD	2010	Sedan	Front	3700	6	V	4	309	6300	370	5000				Gasoline			AWD	Automatic	5	4	1797	4966	1880	1453	2776	9.4		13.8	70	1		Acura	3.7	226			24	305	227	273	38		3962	195.5	74.0	57.2	109.3	25	17		18.5	Acura	USA		
9	Acura	TSX	2.4	2009	 42.2 	 54.0 	 61.2 	 65.2 	 67.9 	 70.5 	296	296	acura	TSX	Automatic	2009	Sedan	Front	2354	4	in-line	4	204	7000	231	4300			11.2:1	Gasoline			Front	Automatic	5	4	1788	4730	1850	1450	2710	7.8	9.4	11.2	70	1		Acura	2.4	144			16	201	150	170	24		3942	186.2	72.8	57.1	106.7	30	21	25.0	18.5	Acura	USA		
